dat_file, cost, time
feasible1_1.dat, 243, 601.7435004711151
feasible1_2.dat, 294, 601.1439723968506
feasible1_3.dat, 342, 601.4192359447479
feasible1_4.dat, 400, 602.6881921291351
feasible1_5.dat, 447, 602.3320488929749
feasible1_6.dat, 502, 601.7137842178345
feasible1_7.dat, 557, 603.1537911891937
feasible1_8.dat, 603, 603.464305639267
feasible1_9.dat, 660, 604.2531220912933
feasible1_10.dat, 706, 602.6652021408081
feasible1_11.dat, 772, 604.8325707912445
feasible1_12.dat, 815, 605.5510261058807
feasible1_13.dat, 884, 604.5302867889404
feasible1_14.dat, 941, 606.1256830692291
feasible1_15.dat, 988, 605.5127005577087
feasible1_16.dat, 1053, 604.7867982387543
feasible1_17.dat, 1124, 607.5132734775543
feasible1_18.dat, 1167, 607.1855912208557
feasible1_19.dat, 1258, 606.2685363292694
feasible1_20.dat, 1327, 606.4966707229614
feasible1_21.dat, -1, 606.9376885890961
feasible1_22.dat, -1, 609.2914347648621
feasible1_23.dat, -1, 606.3627934455872
feasible1_24.dat, -1, 609.6967976093292
feasible1_25.dat, -1, 606.8367342948914
feasible1_26.dat, -1, 608.2945022583008
feasible1_27.dat, -1, 606.5952279567719
feasible1_28.dat, -1, 610.1664063930511
feasible1_29.dat, -1, 608.5869166851044
feasible1_30.dat, -1, 607.6238164901733
feasible1_31.dat, -1, 607.4174497127533
feasible1_32.dat, -1, 608.4802503585815
feasible1_33.dat, -1, 612.5011944770813
feasible1_34.dat, -1, 612.0908851623535
feasible1_35.dat, -1, 608.4156827926636
feasible1_36.dat, -1, 609.5276663303375
feasible1_37.dat, -1, 612.8676536083221
feasible1_38.dat, -1, 608.0768132209778
feasible1_39.dat, -1, 610.034060716629
feasible1_40.dat, -1, 613.0656316280365
feasible1_41.dat, -1, 613.8183934688568
feasible1_42.dat, -1, 612.4163868427277
feasible1_43.dat, -1, 610.0582423210144
feasible1_44.dat, -1, 609.9765913486481
feasible1_45.dat, -1, 613.4572219848633
feasible1_46.dat, -1, 615.8230831623077
feasible1_47.dat, -1, 615.4075181484222
feasible1_48.dat, -1, 610.3233544826508
feasible1_49.dat, -1, 614.5735504627228
feasible1_50.dat, -1, 619.078497171402
