dat_file, cost, time 
feasible1_1.dat, 241, 84.02837228775024
feasible1_2.dat, 288, 1200.608455657959
feasible1_3.dat, 332, 167.38049697875977
feasible1_4.dat, 385, 172.0489480495453
feasible1_5.dat, 429, 538.3000535964966
feasible1_6.dat, 481, 448.32779455184937
feasible1_7.dat, 531, 1200.9027817249298
feasible1_8.dat, 574, 967.670286655426
feasible1_9.dat, 621, 1077.751179933548
feasible1_10.dat, 668, 890.3264374732971
feasible1_11.dat, 722, 943.0411880016327
feasible1_12.dat, 766, 769.1991460323334
feasible1_13.dat, 817, 803.9684655666351
feasible1_14.dat, 864, 895.6250686645508
feasible1_15.dat, 912, 1071.8650350570679
feasible1_16.dat, 959, 957.2583589553833
feasible1_17.dat, 1007, 1172.8995163440704
feasible1_18.dat, 1067, 1201.2002985477448
feasible1_19.dat, 1256, 1201.09135055542
feasible1_20.dat, 1168, 1201.0963118076324
feasible1_21.dat, 1278, 1201.875477552414
feasible1_22.dat, 1559, 1201.3212201595306
feasible1_23.dat, 1599, 1201.2386848926544
feasible1_24.dat, 1675, 1201.9805183410645
feasible1_25.dat, 1742, 1201.2072324752808
feasible1_26.dat, 1772, 1201.3272387981415
feasible1_27.dat, 1858, 1202.250378370285
feasible1_28.dat, 1929, 1201.695890903473
feasible1_29.dat, 1963, 1201.5870008468628
feasible1_30.dat, 2051, 1201.6380178928375
