dat_file, cost, time 
feasible1_1.dat, 249, 60.3361029624939
feasible1_2.dat, 298, 71.75194978713989
feasible1_3.dat, 346, 82.6956558227539
feasible1_4.dat, 400, 93.52809143066406
feasible1_5.dat, 444, 108.03451013565063
feasible1_6.dat, 501, 118.58530354499817
feasible1_7.dat, 552, 129.73439407348633
feasible1_8.dat, 596, 137.57952523231506
feasible1_9.dat, 649, 151.38317370414734
feasible1_10.dat, 697, 164.1467936038971
feasible1_11.dat, 755, 178.35175108909607
feasible1_12.dat, 798, 192.80684399604797
feasible1_13.dat, 854, 199.97966480255127
feasible1_14.dat, 906, 211.11116433143616
feasible1_15.dat, 949, 229.9856719970703
feasible1_16.dat, 1007, 234.91070008277893
feasible1_17.dat, 1056, 250.19204306602478
feasible1_18.dat, 1103, 262.37829780578613
feasible1_19.dat, 1157, 284.6598057746887
feasible1_20.dat, 1204, 287.6753535270691
feasible1_21.dat, 1253, 303.74464774131775
feasible1_22.dat, 1302, 304.3600404262543
feasible1_23.dat, 1356, 328.0563452243805
feasible1_24.dat, 1407, 330.7429316043854
feasible1_25.dat, 1455, 345.4543957710266
feasible1_26.dat, 1505, 364.6511642932892
feasible1_27.dat, 1567, 377.19369649887085
feasible1_28.dat, 1611, 394.1989462375641
feasible1_29.dat, 1656, 406.33233857154846
feasible1_30.dat, 1712, 422.01123809814453
feasible1_31.dat, 1758, 426.01885747909546
feasible1_32.dat, 1811, 439.66850996017456
feasible1_33.dat, 1863, 456.49532103538513
feasible1_34.dat, 1906, 472.1062521934509
feasible1_35.dat, 1969, 473.1609420776367
feasible1_36.dat, 2010, 495.9181182384491
feasible1_37.dat, 2059, 491.64072155952454
feasible1_38.dat, 2112, 519.3254299163818
feasible1_39.dat, 2161, 539.1692795753479
feasible1_40.dat, 2208, 530.0850114822388
feasible1_41.dat, 2257, 540.163925409317
feasible1_42.dat, 2313, 551.9978687763214
feasible1_43.dat, 2363, 579.1883533000946
feasible1_44.dat, 2425, 578.2729766368866
feasible1_45.dat, 2462, 589.7271611690521
feasible1_46.dat, 2517, 618.7959156036377
feasible1_47.dat, 2563, 640.3989455699921
feasible1_48.dat, 2620, 640.8082671165466
feasible1_49.dat, 2650, 639.2619626522064
feasible1_50.dat, 2717, 666.8337585926056
