dat_file, cost, time
feasible1_1.dat, 250, 302.7125861644745
feasible1_2.dat, 297, 302.4809501171112
feasible1_3.dat, 344, 303.91931414604187
feasible1_4.dat, 400, 303.54425263404846
feasible1_5.dat, 444, 304.21622109413147
feasible1_6.dat, 502, 303.77867579460144
feasible1_7.dat, 551, 303.20048356056213
feasible1_8.dat, 598, 305.01313495635986
feasible1_9.dat, 649, 305.9663746356964
feasible1_10.dat, 699, 305.10689783096313
feasible1_11.dat, 755, 306.2789030075073
feasible1_12.dat, 798, 306.7632966041565
feasible1_13.dat, 854, 307.372722864151
feasible1_14.dat, 905, 307.9821538925171
feasible1_15.dat, 949, 308.0134222507477
feasible1_16.dat, 1005, 307.20083951950073
feasible1_17.dat, 1055, 308.53642296791077
feasible1_18.dat, 1103, 309.7460458278656
feasible1_19.dat, 1157, 309.238796710968
feasible1_20.dat, 1203, 310.990522146225
feasible1_21.dat, 1250, 305.48670506477356
feasible1_22.dat, 1304, 305.0165798664093
feasible1_23.dat, 1355, 308.25608825683594
feasible1_24.dat, 1406, 305.3423881530762
feasible1_25.dat, 1458, 304.6218047142029
feasible1_26.dat, 1506, 308.09640169143677
feasible1_27.dat, 1570, 304.33761739730835
feasible1_28.dat, 1611, 309.7343661785126
feasible1_29.dat, 1653, 313.82525181770325
feasible1_30.dat, 1709, 309.9456477165222
feasible1_31.dat, 1762, 311.00807213783264
feasible1_32.dat, 1810, 304.47595500946045
feasible1_33.dat, 1864, 314.61786246299744
feasible1_34.dat, 1906, 307.30447149276733
feasible1_35.dat, 1968, 309.72665309906006
feasible1_36.dat, 2012, 305.4291980266571
feasible1_37.dat, 2058, 311.64877128601074
feasible1_38.dat, 2108, 319.08718609809875
feasible1_39.dat, 2161, 310.3204822540283
feasible1_40.dat, 2213, 304.8584654331207
feasible1_41.dat, 2261, 311.73354959487915
feasible1_42.dat, 2314, 314.8313944339752
feasible1_43.dat, 2370, 310.0552797317505
feasible1_44.dat, 2425, 309.02340292930603
feasible1_45.dat, 2467, 317.8995621204376
feasible1_46.dat, 2516, 307.28846645355225
feasible1_47.dat, 2565, 319.5815417766571
feasible1_48.dat, 2624, 320.80449390411377
feasible1_49.dat, 2659, 320.55614590644836
feasible1_50.dat, 2721, 305.2885904312134
