dat_file, cost, time 
feasible1_1.dat, 241, 84.02837228775024
feasible1_2.dat, 288, 1200.608455657959
feasible1_3.dat, 332, 167.38049697875977
feasible1_4.dat, 385, 172.0489480495453
feasible1_5.dat, 429, 538.3000535964966
feasible1_6.dat, 481, 448.32779455184937
feasible1_7.dat, 531, 1200.9027817249298
feasible1_8.dat, 574, 967.670286655426
feasible1_9.dat, 621, 1077.751179933548
feasible1_10.dat, 668, 890.3264374732971
feasible1_11.dat, 722, 943.0411880016327
feasible1_12.dat, 766, 769.1991460323334
feasible1_13.dat, 817, 803.9684655666351
feasible1_14.dat, 864, 895.6250686645508
feasible1_15.dat, 912, 1071.8650350570679
feasible1_16.dat, 959, 957.2583589553833
feasible1_17.dat, 1007, 1172.8995163440704
feasible1_18.dat, 1067, 1201.2002985477448
feasible1_19.dat, 1256, 1201.09135055542
feasible1_20.dat, 1168, 1201.0963118076324
feasible1_21.dat, 1278, 1201.875477552414
feasible1_22.dat, 1559, 1201.3212201595306
feasible1_23.dat, 1599, 1201.2386848926544
feasible1_24.dat, 1675, 1201.9805183410645
feasible1_25.dat, 1742, 1201.2072324752808
feasible1_26.dat, 1772, 1201.3272387981415
feasible1_27.dat, 1858, 1202.250378370285
feasible1_28.dat, 1929, 1201.695890903473
feasible1_29.dat, 1963, 1201.5870008468628
feasible1_30.dat, 2051, 1201.6380178928375
feasible1_31.dat, 2096, 1202.0552265644073
feasible1_32.dat, 2146, 1201.7458670139313
feasible1_33.dat, 2226, 1201.7063438892365
feasible1_34.dat, 2263, 1202.878743171692
feasible1_35.dat, 2286, 1201.8654408454895
feasible1_36.dat, 2374, 1201.9160075187683
feasible1_37.dat, 2460, 1203.1132643222809
feasible1_38.dat, 2523, 1202.1146426200867
feasible1_39.dat, -1, 1202.0389177799225
feasible1_40.dat, -1, 1203.399198770523
feasible1_41.dat, -1, 1203.2850921154022
feasible1_42.dat, -1, 1202.284925699234
feasible1_43.dat, -1, 1202.1755678653717
feasible1_44.dat, -1, 1203.2225880622864
feasible1_45.dat, -1, 1202.3943574428558
feasible1_46.dat, -1, 1203.2225511074066
feasible1_47.dat, 3075, 1202.50372672081
feasible1_48.dat, -1, 1201.738033771515
feasible1_49.dat, -1, 1203.6078248023987
feasible1_50.dat, 3093, 1202.7159581184387
