dat_file, cost, time
feasible1_1.dat, 241, 78.53962016105652
feasible1_2.dat, 288, 300.53220081329346
feasible1_3.dat, 332, 161.50163435935974
feasible1_4.dat, 385, 172.73724150657654
feasible1_5.dat, 521, 300.51957082748413
feasible1_6.dat, 526, 300.7271008491516
feasible1_7.dat, 656, 300.6970360279083
feasible1_8.dat, 717, 300.6883888244629
feasible1_9.dat, 645, 300.6302959918976
feasible1_10.dat, 830, 300.69140005111694
feasible1_11.dat, 908, 300.8189535140991
feasible1_12.dat, 969, 300.80401396751404
feasible1_13.dat, 1023, 300.8633916378021
feasible1_14.dat, 981, 300.9590673446655
feasible1_15.dat, 1111, 300.9310848712921
feasible1_16.dat, 1209, 300.95726799964905
feasible1_17.dat, 1227, 300.97294521331787
feasible1_18.dat, 1326, 301.9434995651245
feasible1_19.dat, 1375, 301.17519187927246
feasible1_20.dat, 1431, 301.21128964424133
feasible1_21.dat, 1437, 301.20584893226624
feasible1_22.dat, -1, 301.23105478286743
feasible1_23.dat, 1599, 301.24461102485657
feasible1_24.dat, 1675, 301.3449401855469
feasible1_25.dat, 1742, 301.4114496707916
feasible1_26.dat, 1772, 301.48638224601746
feasible1_27.dat, 1858, 301.4531726837158
feasible1_28.dat, 1929, 301.5437548160553
feasible1_29.dat, 1963, 301.72346091270447
feasible1_30.dat, -1, 302.0419044494629
feasible1_31.dat, 2096, 301.82208251953125
feasible1_32.dat, 2146, 301.8149857521057
feasible1_33.dat, -1, 301.6439542770386
feasible1_34.dat, 2263, 301.73428750038147
feasible1_35.dat, 2286, 301.9352593421936
feasible1_36.dat, 2374, 301.85803174972534
feasible1_37.dat, 2460, 302.0237672328949
feasible1_38.dat, -1, 301.6210587024689
feasible1_39.dat, -1, 301.8087832927704
feasible1_40.dat, -1, 302.65504813194275
feasible1_41.dat, -1, 301.76082015037537
feasible1_42.dat, -1, 302.73354601860046
feasible1_43.dat, -1, 301.8019163608551
feasible1_44.dat, -1, 301.90454721450806
feasible1_45.dat, -1, 301.97526025772095
feasible1_46.dat, -1, 301.8942451477051
feasible1_47.dat, 3075, 302.5148525238037
feasible1_48.dat, -1, 302.0616934299469
feasible1_49.dat, -1, 301.9753227233887
feasible1_50.dat, 3093, 302.49110293388367
